"Name","House","Expansion – #","Aerc Score","Amber Control","Expected Amber","Aember Protection","Artifact Control","Creature Control","Effective Power","Efficiency","Disruption","House Cheating","Other","Raw Amber","Power","Armor","Wins","Losses","SAS traits","Synergies","Traits","Text","Flavor Text"
"Shooler","Dis","CALL_OF_THE_ARCHONS – 096 | AGE_OF_ASCENSION – 064","2.4","0.75","0.75","0","0","0","5","0","0","0","0","0","5","0","50848","43095","[object Object] | [object Object]","increasesKeyCost – 2 – anyHouse | returnsFriendlyCreaturesToHand – 2 – house | returnsFriendlyCreaturesToHand – 1 – anyHouse","Demon","Play: If your opponent has 4<A> or more, steal 1<A>.","“Demons only take, never give.” - The Sanctified Scroll"
"Ortannu the Chained","Dis","AGE_OF_ASCENSION – 097","2.1","0","1","0","0","0","7","0","0","0","0","0","7","0","1547","1562","","ortannusBinding – 2 – anyHouse","Demon","Reap: Return each copy of Ortannu’s Binding from your discard pile to your hand. For each one returned this way, deal 2D to a creature, with 2D splash.",""
"Snudge","Dis","CALL_OF_THE_ARCHONS – 097","2.3","0","0","0","0.5","0.5","4","0","0.5","0","0","0","4","0","12429","10608","[object Object] | [object Object] | [object Object] | [object Object]","protectsCreatures – 1 – anyHouse | goodPlay – 1 – house","Demon","Fight/Reap: Return an artifact or flank creature to its owner’s hand.","It’s only sensible to fear the dark. "
"Ortannu’s Binding","Dis","AGE_OF_ASCENSION – 098","0.5","0","0.5","0","0","0","0","0","0","0","0","1","0","0","3087","3116","[object Object]","highTotalArmor – 2 – anyHouse","","Play: Deal 2D to a friendly creature.","It’s coming…"
"Stealer of Souls","Dis","CALL_OF_THE_ARCHONS – 098","2.25","0","0","0","0","1","6","0","0.25","0","0","0","6","0","11205","9677","[object Object]","increasesCreaturePower – 1 – anyHouse | causesFighting – 1 – anyHouse","Demon","After an enemy creature is destroyed fighting Stealer of Souls, purge that creature and gain 1<A>.",""
"Overlord Greking","Dis","CALL_OF_THE_ARCHONS – 087 | AGE_OF_ASCENSION – 099","2.6","0","0","0","0","1","7","0.5","0","0","0","0","7","0","5321","4939","[object Object] | [object Object]","usesCreaturesOutOfHouse – 1 – anyHouse | causesFighting – 1 – anyHouse | increasesCreaturePower – 1 – anyHouse","Demon","After an enemy creature is destroyed fighting Overlord Greking, put that creature into play under your control.",""
"Succubus","Dis","CALL_OF_THE_ARCHONS – 099","2.6999999999999997","0","0","0","0","0","3","0","2","0","0","0","3","0","30977","26777","[object Object]","protectsCreatures – 2 – anyHouse | highTotalCreaturePower – 1 – anyHouse | lowTotalCreaturePower – -1 – anyHouse","Demon","During their “draw cards” step, your opponent refills their hand to 1 less card.",""
"Tentacus","Dis","CALL_OF_THE_ARCHONS – 100 | AGE_OF_ASCENSION – 085","2.4","0.5","0.5","0","0.5","0","5","0","0","0","0","0","5","0","16180","14603","","destroysEnemyArtifacts – -2 – anyHouse","Demon","Your opponent must pay you 1<A> in order to use an artifact.",""
"The Terror","Dis","CALL_OF_THE_ARCHONS – 101","1.4","0","0.5","0","0","0","5","0","0","0","0","0","5","0","29803","25970","","capturesAmber – 2 – house | stealsAmber – 1 – house","Demon,Knight","Play: If your opponent has no <A>, gain 2<A>.","“I once thought that these creatures could be redeemed. Now I know better.” –Champion Anaphiel"
"Restringuntus","Dis","CALL_OF_THE_ARCHONS – 094 | AGE_OF_ASCENSION – 102","2","0","0","0","0","0","1","0","1.5","0","0","0","1","0","5232","4233","[object Object]","controlsHouseChoice – 3 – anyHouse | revealsHand – 3 – anyHouse | protectsCreatures – 2 – anyHouse","Demon","Play: Choose a house. Your opponent cannot choose that house as their active house until Restringuntus leaves play.",""
"Tocsin","Dis","CALL_OF_THE_ARCHONS – 102","1.2000000000000002","0","0","0","0","0","3","0","0.5","0","0","0","3","0","27743","24939","[object Object] | [object Object]","protectsCreatures – 2 – anyHouse","Demon","Reap: Your opponent discards a random card from their hand.",""
"Shadow of Dis","Dis","AGE_OF_ASCENSION – 103","2","0","1","0","0","1","0","0","0","0","0","1","0","0","1575","1548","","","","Play: Until your next turn, enemy creatures’ text boxes are considered blank (except for traits).",""
"Tolas","Dis","CALL_OF_THE_ARCHONS – 103 | AGE_OF_ASCENSION – 106","1.5","0","1","0","0","0","1","0","0","0","0","0","1","0","4135","4035","[object Object]","lowCreatureCount – 3 – anyHouse | damagesMultipleEnemies – 1 – anyHouse | highCreatureCount – -3 – anyHouse","Imp","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Each time a creature is destroyed, its opponent gains 1<A>.",""
"Shard of Pain","Dis","AGE_OF_ASCENSION – 104","0.5","0","0","0","0","0.5","0","0","0","0","0","0","0","0","704","841","[object Object] | [object Object]","shard – 1 – anyHouse","Item,Shard","Action: Deal 1D to an enemy creature for each friendly Shard.","Forged from curiosity."
"Truebaru","Dis","CALL_OF_THE_ARCHONS – 104","0.8","0","0","0","0","0","4","0","0","0","0","0","7","0","3198","2948","[object Object] | [object Object]","destroysFriendlyCreatures – 1 – anyHouse | highExpectedAmber – 1 – anyHouse","Demon","You must lose 3<A> in order to play Truebaru.  Taunt. (This creature’s neighbors cannot be attacked unless they have taunt.)Destroyed: Gain 5<A>. ",""
"Soul Snatcher","Dis","CALL_OF_THE_ARCHONS – 080 | AGE_OF_ASCENSION – 105","1","0","1","0","0","0","0","0","0","0","0","0","0","0","4373","4187","","highCreatureCount – 3 – anyHouse | badPenny – 2 – anyHouse | returnsCreaturesFromDiscard – 1 – anyHouse | goodDestroyed – 1 – anyHouse | lowCreatureCount – -2 – anyHouse","Vehicle","Each time a creature is destroyed,its owner gains 1A.","No one goes in, no one comes out. And yet the fires burn."
"Collar of Subordination","Dis","CALL_OF_THE_ARCHONS – 105 | AGE_OF_ASCENSION – 089","2.5","0","0","0","0","1.5","0","1","0","0","0","0","0","0","5728","4852","[object Object]","causesFighting – 2 – anyHouse | usesCreaturesOutOfHouse – 1 – anyHouse","","You control this creature.","“OBEY.”"
"Flame-Wreathed","Dis","CALL_OF_THE_ARCHONS – 106","1.4","0","1","0","0","0","4","0","0","0","0","1","0","0","10810","9555","[object Object] | [object Object]","highCreatureCount – 2 – anyHouse | lowCreatureCount – -2 – anyHouse","","This creature gets +2 power and gains hazardous 2. (Before this creature is attacked, deal 2<D> to the attacking enemy.)",""
"Wretched Doll","Dis","AGE_OF_ASCENSION – 107","0.5","0","0","0","0","0.5","0","0","0","0","0","0","0","0","1215","1406","[object Object]","","Item","Action: If there is a doom counter in play, destroy all creatures with doom counters. Otherwise, put a doom counter on a creature.",""
"Bouncing Deathquark","Logos","CALL_OF_THE_ARCHONS – 107 | AGE_OF_ASCENSION – 125","1.5","0","0","0","0","1.5","0","0","0","0","0","0","0","0","13227","12678","[object Object] | [object Object]","","","Play: Destroy an enemy creature and a friendly creature. You may repeat this effect as many times as you like, as long as it is possible to repeat the entire effect.",""
"Dimension Door","Logos","CALL_OF_THE_ARCHONS – 108","1","1","0","0","0","0","0","0","0","0","0","0","0","0","7012","7078","[object Object]","highTotalCreaturePower – 2 – house","","Play: For the remainder of the turn, any <A> you would gain from reaping is stolen from your opponent instead.",""
"Archimedes","Logos","AGE_OF_ASCENSION – 108","1.7999999999999998","0","0","0","0","0","4","1","0","0","0","0","2","0","12792","13635","[object Object] | [object Object] | [object Object] | [object Object]","","Cyborg,Beast","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Each of Archimedes’s neighbors gains, “Destroyed: Archive this creature.”",""
"Binate Rupture","Logos","AGE_OF_ASCENSION – 109","1","0","1","0","0","0","0","0","0","0","0","0","0","0","10728","11955","[object Object]","alpha – -3 – house","","Alpha. (You can only play this card before doing anything else this step.)Play: Each player gains A equal tothe A in their pool.",""
"Effervescent Principle","Logos","CALL_OF_THE_ARCHONS – 109","0.5","2","-1","0","0","0","0","-0.5","0","0","0","0","0","0","23492","21764","[object Object]","increasesKeyCost – 1 – anyHouse | capturesAmber – 1 – house","","Play: Each player loses half their <A> (rounding down the loss). Gain 1 chain.",""
"Cutthroat Research","Logos","AGE_OF_ASCENSION – 110","1.5","0.25","1.25","0","0","0","0","0","0","0","0","1","0","0","12055","11885","[object Object]","increasesKeyCost – 1 – anyHouse","","Play: Steal 2A if your opponent has8A or more.","“To steal data from one person is plagiarism.To steal from many is research.”– Dr. Escotera"
"Foggify","Logos","CALL_OF_THE_ARCHONS – 110","1.5","0","1","0","0","0","0","0","0","0","0.5","1","0","0","23462","21651","[object Object]","power3OrLowerCreatures – 1 – anyHouse","","Play: Your opponent cannot use creatures to fight on their next turn.",""
"Eyegor","Logos","AGE_OF_ASCENSION – 111","2.6","0","0","0","0","0","2","2","0","0","0","0","2","0","13013","13195","[object Object] | [object Object]","","Cyborg","Play: Look at the top 3 cards of your deck. Add 1 to your hand and discard the others.",""
"Interdimensional Graft","Logos","CALL_OF_THE_ARCHONS – 112 | AGE_OF_ASCENSION – 130","2","0.5","1.5","0","0","0","0","0","0","0","0","1","0","0","15457","14083","[object Object]","capturesAmber – 1 – house","","Play: If an opponent forges a key on their next turn, they must give you their remaining <A>.",""
"Helper Bot","Logos","AGE_OF_ASCENSION – 112","3","0","0","0","0","0","1","2.5","0","0","0","0","1","0","14054","13601","[object Object] | [object Object]","","Robot","Play: You may play one non-Logos card this turn.","“See, Momo? I told you it wouldn’t take long.” – Doc Bookton"
"Hexpion","Logos","AGE_OF_ASCENSION – 113","1.1","0","0","0","0","0","2","0.5","0","0","0","0","2","0","11972","12575","[object Object] | [object Object] | [object Object]","","AI","Destroyed: Archive Hexpion and the top card of your deck.","”I learn, I die, I learn again.”"
"Labwork","Logos","CALL_OF_THE_ARCHONS – 114 | AGE_OF_ASCENSION – 114","2.5","0","1","0","0","0","0","1.5","0","0","0","1","0","0","41210","37208","[object Object]","","","Play: Archive a card.","Attention to detail is the key to all progress."
"Library Access","Logos","CALL_OF_THE_ARCHONS – 115","2","0","0","0","0","0","0","2","0","0","0","0","0","0","24338","20957","[object Object]","playsCards – 3 – house | archives – 2 – anyHouse | drawsCards – 1 – anyHouse","","Play: For the remainder of the turn, each time you play another card, draw a card.",""
"Library of Babble","Logos","CALL_OF_THE_ARCHONS – 129 | AGE_OF_ASCENSION – 115","0.5","0","0","0","0","0","0","0.5","0","0","0","0","0","0","33571","33087","[object Object] | [object Object]","revealsTopDeck – 2 – anyHouse","Location","Action: Draw a card.","When you make an archive of all knowledgein the universe, don’t be surprised when you understand almost none of it. "
"Neuro Syphon","Logos","CALL_OF_THE_ARCHONS – 116","2.5","0.5","1.5","0","0","0","0","0.5","0","0","0","1","0","0","10523","8920","[object Object]","increasesKeyCost – 2 – anyHouse","","Play: If your opponent has more <A> than you, steal 1<A> and draw a card.",""
"Pip Pip","Logos","AGE_OF_ASCENSION – 116","0.8500000000000001","0","0","0","0","0.25","2","0","0","0","0","0","2","0","11281","12332","","protectsCreatures – 2 – anyHouse","Human,Scientist","After an enemy creature reaps, stun it.","“A lead foot? I’ll give ‘em a lead foot.”"
"Phase Shift","Logos","CALL_OF_THE_ARCHONS – 117","2.5","0","0","0","0","0","0","2.5","0","0","0","0","0","0","27164","23829","[object Object]","","","Play: You may play one non-Logos card this turn.",""
"Poke","Logos","AGE_OF_ASCENSION – 117","1.5","0","1","0","0","0.25","0","0.25","0","0","0","1","0","0","12068","12055","[object Object] | [object Object]","","","Play: Deal 1D to an enemy creature. If this damage destroys that creature, draw a card.",""
"Positron Bolt","Logos","CALL_OF_THE_ARCHONS – 118","2.5","0","1","0","0","1.5","0","0","0","0","0","1","0","0","12623","10831","[object Object] | [object Object]","","","Play: Deal 3<D> to a flank creature. Deal 2<D> to its neighbor. Deal 1<D> to the second creature’s other neighbor.",""
"Professor Sutterkin","Logos","AGE_OF_ASCENSION – 118","2.1","0","0","0","0","0","2","1.5","0","0","0","0","2","0","12858","13366","[object Object] | [object Object]","highCreatureCount – 2 – house | protectsCreatures – 2 – anyHouse | lowCreatureCount – -3 – house","Human,Scientist","Reap: Draw a card for each friendly Logos creature.","“I taught me everything you know.”"
"Random Access Archives","Logos","CALL_OF_THE_ARCHONS – 119","2","0","1","0","0","0","0","1","0","0","0","1","0","0","2829","2413","[object Object] | [object Object]","","","Play: Archive the top card of your deck.","“3.14159, Niffles, Monosodium Glutamate...”"
"Standardized Testing","Logos","AGE_OF_ASCENSION – 119","1.5","0","0","0","0","1.5","0","0","0","0","0","0","0","0","11598","11985","[object Object] | [object Object]","lowCreatureCount – 2 – anyHouse | highCreatureCount – -2 – anyHouse","","Play: Destroy each creature with the lowest power and each creature with the highest power.","The Logos like to call it aggressive motivation."
"Remote Access","Logos","CALL_OF_THE_ARCHONS – 120 | AGE_OF_ASCENSION – 134","2","0","1","0","1","0","0","0","0","0","0","1","0","0","14071","13140","","destroysEnemyArtifacts – -1 – anyHouse","","Play: Use an opponent's artifact as if it were yours.",""
"Titan Librarian","Logos","AGE_OF_ASCENSION – 120","2.3","0","0","0","0","0","4","1.5","0","0","0","0","4","0","12117","12250","[object Object]","highCreatureCount – 2 – house","Cyborg,Scientist","At the end of your turn, if Titan Librarian is not on a flank, archive a card.","Titan Fabrication Labs: Building a Bigger Tomorrow."
"Reverse Time","Logos","CALL_OF_THE_ARCHONS – 121","1.5","0","1","0","0","0","0","0.5","0","0","0","1","0","0","3037","2765","","playsCards – 2 – house","","Play: Swap your deck and your discard pile. Then, shuffle your deck.","...time back turn could I if"
"Scrambler Storm","Logos","CALL_OF_THE_ARCHONS – 122","3","0","1","0","0","0","0","0","2","0","0","1","0","0","10442","8724","","","","Play: Your opponent cannot play action cards on their next turn.",""
"Sloppy Labwork","Logos","CALL_OF_THE_ARCHONS – 123 | AGE_OF_ASCENSION – 138","3","0","1","0","0","0","0","2","0","0","0","1","0","0","15982","14249","[object Object] | [object Object]","","","Play: Archive a card. Discard a card.","Don’t fret the details. Progress happens when you least expect it."
"Z.Y.X. Researcher","Logos","AGE_OF_ASCENSION – 123","1.6","0","0","0","0","0","2","1","0","0","0","0","2","0","14036","14173","[object Object] | [object Object] | [object Object]","","Human,Scientist","Play: Archive the top card of your deck or the top card of your discard pile.","“We only concern ourselves with ‘can’; let the Sanctum worry about ‘should’.”"
"Twin Bolt Emission","Logos","CALL_OF_THE_ARCHONS – 124","2.25","0","1","0","0","1.25","0","0","0","0","0","1","0","0","27613","23960","[object Object] | [object Object]","","","Play: Deal 2<D> to a creature and deal 2<D> to a different creature.",""
"Backup Copy","Logos","AGE_OF_ASCENSION – 124","1.5","0","1","0","0","0","0","0.5","0","0","0","1","0","0","4494","4832","","","","This creature gains, “Destroyed: Put this creature on top of your deck.”","”It’s so cute! I want another one.”– Dextre"
"Wild Wormhole","Logos","CALL_OF_THE_ARCHONS – 125 | AGE_OF_ASCENSION – 122","3","0","1","0","0","0","0","2","0","0","0","1","0","0","44727","38559","[object Object]","damagesFriendlyCreatures – -2 – anyHouse | chains – -3 – anyHouse","","Play: Play the top card of your deck.","“But if we ever do recover the dataprobe, think of what we will learn!” "
"Anomaly Exploiter","Logos","CALL_OF_THE_ARCHONS – 126","1","0","0","0","0","1","0","0","0","0","0","0","0","0","8359","7969","[object Object] | [object Object]","damagesMultipleEnemies – 2 – anyHouse","Item","Action: Destroy a damaged creature.",""
"Director of Z.Y.X.","Logos","AGE_OF_ASCENSION – 127","1.9","0","0","0","0","0","5","1","0","0","0","0","3","0","6983","6837","[object Object] | [object Object] | [object Object]","","Cyborg,Scientist","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)At the start of your turn, archive the top card of your deck.",""
"Eureka!","Logos","AGE_OF_ASCENSION – 128","3.5","0","3","0","0","0","0","0.5","0","0","0","1","0","0","6115","5361","[object Object] | [object Object] | [object Object]","alpha – -3 – house","","Alpha. Play: Gain 2A. Archive 2 random cards from your hand.","15 years, 40 million UX credits, and a 3% improvement on the real duck."
"Fila the Researcher","Logos","AGE_OF_ASCENSION – 129","1.1","0","0","0","0","0","2","0.5","0","0","0","0","1","0","4572","4683","[object Object] | [object Object]","deploy – 1 – anyHouse","Human,Scientist","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)After a creature is played adjacent to Fila the Researcher, draw a card.",""
"Mobius Scroll","Logos","CALL_OF_THE_ARCHONS – 130","1.5","0","0","0","0","0","0","1.5","0","0","0","0","0","0","2547","2375","[object Object] | [object Object]","","Item","Action: Archive Mobius Scroll and up to 2 cards from your hand.","Once upon a time there was a scroll that began: Once upon a time…"
"Jargogle","Logos","AGE_OF_ASCENSION – 131","2.8","0","0","0","0","0","4","2","0","0","0","0","2","0","4945","5148","[object Object] | [object Object] | [object Object]","","Mutant,Beast","Elusive.Play: Put a card from your hand facedown under Jargogle.Destroyed: If it is your turn, play the card under Jargogle; otherwise, archive that card.",""
"Memory Chip","Logos","AGE_OF_ASCENSION – 132","1.5","0","0","0","0","0","0","1.5","0","0","0","0","0","0","4718","4982","[object Object]","","Item","After you choose Logos as your active house, archive a card.",""
"Spangler Box","Logos","CALL_OF_THE_ARCHONS – 132","1","0","0","0","0","1","0","0","0","0","0","0","0","0","2321","2180","[object Object]","","Item","Action: Purge a creature in play. If you do, your opponent gains control of Spangler Box. If Spangler Box leaves play, return to play all cards purged by Spangler Box.",""
"Quantum Fingertrap","Logos","AGE_OF_ASCENSION – 133","1","0","1","0","0","0","0","0","0","0","0","1","0","0","4562","4926","[object Object]","","Item","Action: Swap the positions of two creatures in a battleline.","So if you push forward in space, and I pull backward in time…"
"Spectral Tunneler","Logos","CALL_OF_THE_ARCHONS – 133","1.5","0","1","0","0","0","0","0.5","0","0","0","1","0","0","8340","7577","[object Object] | [object Object]","","Item","Action: Choose a creature. For the remainder of the turn, that creature is considered a flank creature and gains, “Reap: Draw a card.”",""
"Strange Gizmo","Logos","CALL_OF_THE_ARCHONS – 134 | AGE_OF_ASCENSION – 156","2","0","0.5","0","0.5","1","0","0","0","0","0","1","0","0","4104","4035","[object Object] | [object Object] | [object Object] | [object Object]","","Item","After you forge a key, destroy each creature and artifact.","“Why did we make this again?”"
"The Howling Pit","Logos","CALL_OF_THE_ARCHONS – 135","1.25","0","1","0","0","0","0","0.25","0","0","0","1","0","0","3274","2862","[object Object] | [object Object]","","Location","During their “draw cards” step, each player refills their hand to 1 additional card.",""
"Batdrone","Logos","CALL_OF_THE_ARCHONS – 136","1.05","0.25","0","0","0","0","4","0","0","0","0","0","2","0","24303","22620","[object Object] | [object Object]","protectsCreatures – 2 – anyHouse | readiesCreatures – 1 – house | causesFighting – 1 – anyHouse","Robot","Skirmish. (When you use this creature to fight, it is dealt no damage in return.)Fight: Steal 1<A>.","The worst part is the singing."
"Seismo-entangler","Logos","AGE_OF_ASCENSION – 137","1","1","0","0","0","0","0","0","0","0","0","0","0","0","4220","4795","[object Object]","","Item","Action: Choose a house. During your opponent’s next turn, creatures of the chosen house cannot be used to reap.",""
"Brain Eater","Logos","CALL_OF_THE_ARCHONS – 137 | AGE_OF_ASCENSION – 126","1.5","0","0","0","0","0","6","0.5","0","0","0","0","6","0","14050","13497","[object Object] | [object Object]","increasesCreaturePower – 1 – anyHouse","Cyborg,Beast","After a creature is destroyed fighting Brain Eater, draw a card.",""
"Dextre","Logos","CALL_OF_THE_ARCHONS – 138","0.7","0.5","0","0","0","0","3","-0.5","0","0","0","0","3","0","21403","20631","[object Object] | [object Object]","","Human,Scientist","Play: Capture 1<A>.Destroyed: Put Dextre on top of your deck.",""
"[REDACTED]","Logos","AGE_OF_ASCENSION – 139","0.5","0","0","0","0","0","0","0","0","0","0.5","0","0","0","1746","1750","[object Object]","","[Redacted]","After you choose Logos as your active house, place 1A from the common supply on [REDACTED]. When there are 4 or more A on [REDACTED], sacrifice it and forge a key at no cost.",""
"Doc Bookton","Logos","CALL_OF_THE_ARCHONS – 139","1.4","0","0","0","0","0","5","0.5","0","0","0","0","5","0","26051","23912","[object Object]","","Human,Scientist","Reap: Draw a card.","“Don’t worry, Momo. We’ll have this quantum death ray installed in no time.”"
"Chaos Portal","Logos","CALL_OF_THE_ARCHONS – 127 | AGE_OF_ASCENSION – 140","0.5","0","0","0","0","0","0","0.5","0","0","0","0","0","0","3380","3562","[object Object] | [object Object]","revealsTopDeck – 2 – anyHouse | chains – -1 – anyHouse | damagesFriendlyCreatures – -1 – anyHouse","Location","Action: Choose a house. Reveal the top card of your deck. If it is of that house, play it.",""
"Dr. Escotera","Logos","CALL_OF_THE_ARCHONS – 140","1.7999999999999998","0","1","0","0","0","4","0","0","0","0","0","4","0","24219","22114","","returnsFriendlyCreaturesToHand – 2 – anyHouse","Cyborg,Scientist","Play: Gain 1<A> for each forged key your opponent has.","“Interesting reaction, but what does it mean?”"
"Crazy Killing Machine","Logos","CALL_OF_THE_ARCHONS – 128 | AGE_OF_ASCENSION – 141","1","0","0","0","0.5","0.5","0","0","0","0","0","0","0","0","3653","3744","[object Object] | [object Object] | [object Object] | [object Object] | [object Object]","revealsTopDeck – 1 – anyHouse","Weapon","Action: Discard the top card of each player’s deck. For each of those cards, destroy a creature or artifact of that card’s house, if able. If 2 cards are not destroyed as a result of this, destroy Crazy Killing Machine.",""
"Dysania","Logos","CALL_OF_THE_ARCHONS – 141 | AGE_OF_ASCENSION – 142","2.8","0","1","0","0","0","4","0","1","0","0","0","4","0","3997","4038","","","Mutant","Play: Your opponent discards each of their archived cards. You gain 1A for each card discarded this way.",""
"Ganymede Archivist","Logos","CALL_OF_THE_ARCHONS – 142","1.7000000000000002","0","0","0","0","0","3","1","0","0","0","0","3","0","24249","22373","[object Object] | [object Object]","protectsCreatures – 2 – anyHouse | highTotalCreaturePower – 2 – anyHouse | lowTotalCreaturePower – -1 – anyHouse","Human,Scientist","Reap: Archive a card.","“They offered to let my crew stay with them. I politely declined.” –Captain Val Jericho"
"Entropic Swirl","Logos","AGE_OF_ASCENSION – 143","3","0","2","0","0","1","0","0","0","0","0","0","0","0","1641","1523","[object Object]","","","Play: Choose a creature. For each trait that creature has, deal it 2D and gain 1A.",""
"Harland Mindlock","Logos","CALL_OF_THE_ARCHONS – 143 | AGE_OF_ASCENSION – 145","1","0","0","0","0","0.5","1","0","0","0","0","0","1","0","4156","3965","","protectsCreatures – 2 – anyHouse | usesCreaturesOutOfHouse – 1 – anyHouse","Cyborg,Scientist","Play: Take control of an enemy flank creature until Harland Mindlock leaves play.",""
"Fetchdrones","Logos","AGE_OF_ASCENSION – 144","0.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","1179","1278","[object Object] | [object Object]","","Item","Action: Discard the top 2 cards of your deck. For each Logos card discarded this way, a friendly creature captures 2A.",""
"Quixo the “Adventurer”","Logos","CALL_OF_THE_ARCHONS – 144","1.2000000000000002","0","0","0","0","0","3","0.5","0","0","0","0","3","0","23544","22579","[object Object] | [object Object] | [object Object]","causesFighting – 1 – anyHouse | highTotalCreaturePower – 1 – anyHouse","Human,Scientist","Skirmish. (When you use this creature to fight, it is dealt no damage in return.)Fight: Draw a card.","“...I’ll leave this part out of the memoir.”"
"Mother","Logos","CALL_OF_THE_ARCHONS – 145","3.4","0","0","0","0","0","5","2.5","0","0","0","0","5","0","32841","27723","[object Object] | [object Object]","protectsCreatures – 2 – anyHouse","Scientist,Robot","During your “draw cards” step, refill your hand to 1 additional card.","“Of course she’s necessary, she’s the mother of all invention!”"
"Help from Future Self","Logos","CALL_OF_THE_ARCHONS – 111 | AGE_OF_ASCENSION – 146","3.5","0","1.5","0","0","0","0","2","0","0","0","1","0","0","9713","7588","[object Object] | [object Object]","","","Play: Search your deck and discard pile for a Timetraveller, reveal it, and put it into your hand. Shuffle your discard pile into your deck.",""
"Neutron Shark","Logos","CALL_OF_THE_ARCHONS – 146 | AGE_OF_ASCENSION – 149","3","0","0","0","1.5","1","1","0","0","0","0","0","1","0","5202","4671","[object Object] | [object Object] | [object Object] | [object Object]","","Mutant,Beast","Play/Fight/Reap: Destroy an enemy creature or artifact and a friendly creature or artifact. Discard the top card of your deck. If that card is not a Logos card, trigger this effect again.",""
"Knowledge is Power","Logos","CALL_OF_THE_ARCHONS – 113 | AGE_OF_ASCENSION – 147","1.25","0","0.25","0","0","0","0","1","0","0","0","0","0","0","4247","4076","[object Object]","archives – 3 – anyHouse","","Play: Choose one: Archive a card, or, for each archived card you have, gain 1A.",""
"Novu Archaeologist","Logos","CALL_OF_THE_ARCHONS – 147","1.7999999999999998","0","0","0","0","0","4","1","0","0","0","0","4","0","9165","8721","[object Object] | [object Object]","protectsCreatures – 1 – anyHouse","Cyborg,Scientist","Action: Archive a card from your discard pile.","“One civilization’s trash is... nope, still trash.”"
"Master the Theory","Logos","AGE_OF_ASCENSION – 148","1.5","0","1","0","0","0","0","0.5","0","0","0","1","0","0","1423","1488","[object Object]","lowCreatureCount – 2 – anyHouse","","Play: If there are no friendly creatures in play, you may archive a card for each enemy creature.","In theory, there is no differencebetween theory and practice."
"Psychic Bug","Logos","CALL_OF_THE_ARCHONS – 149","2.1","0","1","0","0","0","2","0","0","0","0.5","1","2","0","3127","2781","[object Object]","","Cyborg,Insect","Play/Reap: Look at your opponent’s hand.","“I’d make more, but I discovered lesser minds aren’t worth reading.” – Biologician Moreau"
"Ozmo, Martianologist","Logos","CALL_OF_THE_ARCHONS – 148 | AGE_OF_ASCENSION – 150","0.8","0","0","0","0","0","4","0","0","0","0","0","2","0","3762","3864","","hasMars – 2 – anyHouse","Human,Scientist","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Fight/Reap: Heal 3 damage from a Mars creature or stun a Mars creature.",""
"Replicator","Logos","CALL_OF_THE_ARCHONS – 150 | AGE_OF_ASCENSION – 153","1.1","0","0","0","0","0","2","0","0","0","0.5","0","2","0","3777","3693","[object Object]","highTotalCreaturePower – 1 – anyHouse | lowTotalCreaturePower – -1 – anyHouse","Mutant","Reap: Trigger the reap effect of another creature in play as if you controlled that creature. (That creature does not exhaust.)",""
"Pocket Universe","Logos","CALL_OF_THE_ARCHONS – 131 | AGE_OF_ASCENSION – 151","1","0","0","1","0","0","0","0","0","0","0","0","0","0","3425","3693","[object Object]","","Item","You may spend A on Pocket Universe when forging keys.Action: Move 1A from your pool to Pocket Universe.",""
"Research Smoko","Logos","CALL_OF_THE_ARCHONS – 151 | AGE_OF_ASCENSION – 135","1.1","0","0","0","0","0","2","0.5","0","0","0","0","2","0","13552","12918","[object Object] | [object Object]","archives – -2 – anyHouse","Mutant","Destroyed: Archive the top card of your deck.",""
"Project Z.Y.X.","Logos","AGE_OF_ASCENSION – 152","2","0","0","0","0","0","6","1","0","0","0","0","5","1","1612","1590","[object Object]","archivesRandom – 3 – anyHouse","Cyborg,Mutant","Fight/Reap: You may play one of your archived cards as if it were in your hand and in the active house.","”Everything will be fine, as long as it doesn’t wake up.”"
"Skippy Timehog","Logos","CALL_OF_THE_ARCHONS – 152","1.75","0","0","0","0.25","1","1","0","0","0","0","0","1","0","3010","2744","[object Object]","returnsFriendlyCreaturesToHand – 2 – anyHouse | returnsCreaturesFromDiscard – 2 – anyHouse","Mutant","Play: Your opponent cannot use any cards next turn. (Cards can still be played and discarded.)",""
"Scientifical Hack","Logos","AGE_OF_ASCENSION – 154","1.25","0","1","0","0","0","0","0","0","0.25","0","1","0","0","1361","1382","[object Object]","highArtifactCount – 3 – anyHouse | lowArtifactCount – -2 – anyHouse","Equation","Omni: Sacrifice Scientifical Hack. For the remainder of the turn, you may use friendly artifacts as if they belonged to the active house.",""
"Titan Mechanic","Logos","CALL_OF_THE_ARCHONS – 154 | AGE_OF_ASCENSION – 121","2","0","1","0","0","0","6","0","0","0","0","0","6","0","36223","35092","","","Cyborg,Scientist","While Titan Mechanic is on a flank, each key costs –1<A>.","If they come, they will build it. "
